2025-10-04 07:00:01,532 INFO [App]: Запуск работы «marketplace_data_service»
2025-10-04 07:00:01,537 INFO [DBClient]: Таблица purchases уже существует
2025-10-04 07:00:01,537 INFO [App]: Запуск загрузки данных за предыдущий день
2025-10-04 07:00:01,537 INFO [DailyDataLoader]: Обработка даты: 2025-10-03
2025-10-04 07:00:01,537 INFO [ApiClient]: Запрос данных с API за 2025-10-03
2025-10-04 07:00:23,167 INFO [ApiClient]: Успешно получено 4687 записей
2025-10-04 07:00:23,202 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 522479, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 73394, 'product_id': 1886, 'quantity': 0, 'price_per_item': 95653, 'discount_per_item': 19313, 'total_price': 0}
2025-10-04 07:00:23,208 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 758639, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 54205, 'product_id': 35088, 'quantity': 0, 'price_per_item': 76971, 'discount_per_item': 73948, 'total_price': 0}
2025-10-04 07:00:23,211 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 207430, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 13193, 'product_id': 44030, 'quantity': 0, 'price_per_item': 24063, 'discount_per_item': 12532, 'total_price': 0}
2025-10-04 07:00:23,219 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 469816, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 28434, 'product_id': 10973, 'quantity': 0, 'price_per_item': 59852, 'discount_per_item': 48316, 'total_price': 0}
2025-10-04 07:00:23,255 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 314338, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 65265, 'product_id': 40633, 'quantity': 0, 'price_per_item': 21940, 'discount_per_item': 7707, 'total_price': 0}
2025-10-04 07:00:23,265 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 582683, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 25409, 'product_id': 19177, 'quantity': 0, 'price_per_item': 27117, 'discount_per_item': 10428, 'total_price': 0}
2025-10-04 07:00:23,286 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 295219, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 8058, 'product_id': 18784, 'quantity': 0, 'price_per_item': 7250, 'discount_per_item': 727, 'total_price': 0}
2025-10-04 07:00:23,293 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 480755, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 15066, 'product_id': 7367, 'quantity': 0, 'price_per_item': 81965, 'discount_per_item': 72605, 'total_price': 0}
2025-10-04 07:00:23,294 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 992158, 'gender': 'M', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 2557, 'product_id': 8011, 'quantity': 0, 'price_per_item': 30622, 'discount_per_item': 21532, 'total_price': 0}
2025-10-04 07:00:23,311 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 959703, 'gender': 'F', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 46851, 'product_id': 37070, 'quantity': 0, 'price_per_item': 28462, 'discount_per_item': 5761, 'total_price': 0}
2025-10-04 07:00:23,327 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 413110, 'gender': 'M', 'purchase_datetime': '2025-10-03', 'purchase_time_as_seconds_from_midnight': 65839, 'product_id': 49514, 'quantity': 0, 'price_per_item': 55510, 'discount_per_item': 29938, 'total_price': 0}
