2026-02-21 07:00:02,303 INFO [App]: Запуск работы «marketplace_data_service»
2026-02-21 07:00:02,307 INFO [DBClient]: Таблица purchases уже существует
2026-02-21 07:00:02,307 INFO [App]: Запуск загрузки данных за предыдущий день
2026-02-21 07:00:02,307 INFO [DailyDataLoader]: Обработка даты: 2026-02-20
2026-02-21 07:00:02,307 INFO [ApiClient]: Запрос данных с API за 2026-02-20
2026-02-21 07:00:04,359 INFO [ApiClient]: Успешно получено 4928 записей
2026-02-21 07:00:04,361 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 562941, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 18445, 'product_id': 8007, 'quantity': 0, 'price_per_item': 42537, 'discount_per_item': 27695, 'total_price': 0}
2026-02-21 07:00:04,364 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 918428, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 70719, 'product_id': 26690, 'quantity': 0, 'price_per_item': 17439, 'discount_per_item': 12006, 'total_price': 0}
2026-02-21 07:00:04,373 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 780687, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 85821, 'product_id': 4034, 'quantity': 0, 'price_per_item': 361, 'discount_per_item': 291, 'total_price': 0}
2026-02-21 07:00:04,373 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 550862, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 17082, 'product_id': 3376, 'quantity': 0, 'price_per_item': 87315, 'discount_per_item': 58229, 'total_price': 0}
2026-02-21 07:00:04,379 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 878089, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 68641, 'product_id': 15401, 'quantity': 0, 'price_per_item': 46855, 'discount_per_item': 18653, 'total_price': 0}
2026-02-21 07:00:04,392 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 830536, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 34990, 'product_id': 29251, 'quantity': 0, 'price_per_item': 64392, 'discount_per_item': 27382, 'total_price': 0}
2026-02-21 07:00:04,406 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 814374, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 5087, 'product_id': 48797, 'quantity': 0, 'price_per_item': 51609, 'discount_per_item': 27790, 'total_price': 0}
2026-02-21 07:00:04,413 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 446223, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 40360, 'product_id': 10519, 'quantity': 0, 'price_per_item': 90067, 'discount_per_item': 49319, 'total_price': 0}
2026-02-21 07:00:04,427 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 436592, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 55322, 'product_id': 23282, 'quantity': 0, 'price_per_item': 23974, 'discount_per_item': 17416, 'total_price': 0}
2026-02-21 07:00:04,439 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 33949, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 12468, 'product_id': 42342, 'quantity': 0, 'price_per_item': 81495, 'discount_per_item': 22865, 'total_price': 0}
2026-02-21 07:00:04,445 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 754405, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 19117, 'product_id': 2020, 'quantity': 0, 'price_per_item': 67402, 'discount_per_item': 48560, 'total_price': 0}
2026-02-21 07:00:04,455 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 173720, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 40486, 'product_id': 15761, 'quantity': 0, 'price_per_item': 25321, 'discount_per_item': 24108, 'total_price': 0}
2026-02-21 07:00:04,469 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 429157, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 36396, 'product_id': 40776, 'quantity': 0, 'price_per_item': 27688, 'discount_per_item': 13579, 'total_price': 0}
2026-02-21 07:00:04,481 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 349978, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 2711, 'product_id': 49935, 'quantity': 0, 'price_per_item': 1386, 'discount_per_item': 109, 'total_price': 0}
2026-02-21 07:00:04,517 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 561185, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 40068, 'product_id': 35353, 'quantity': 0, 'price_per_item': 12629, 'discount_per_item': 6761, 'total_price': 0}
2026-02-21 07:00:04,524 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 198312, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 29523, 'product_id': 216, 'quantity': 0, 'price_per_item': 92477, 'discount_per_item': 25697, 'total_price': 0}
2026-02-21 07:00:04,535 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 587093, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 61418, 'product_id': 9182, 'quantity': 0, 'price_per_item': 3211, 'discount_per_item': 2665, 'total_price': 0}
2026-02-21 07:00:04,589 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 472312, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 34669, 'product_id': 1829, 'quantity': 0, 'price_per_item': 42375, 'discount_per_item': 28072, 'total_price': 0}
2026-02-21 07:00:04,633 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 417359, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 80221, 'product_id': 37872, 'quantity': 0, 'price_per_item': 52001, 'discount_per_item': 44660, 'total_price': 0}
2026-02-21 07:00:04,651 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 454191, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 30792, 'product_id': 49949, 'quantity': 0, 'price_per_item': 86029, 'discount_per_item': 35020, 'total_price': 0}
2026-02-21 07:00:04,660 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 394474, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 3801, 'product_id': 23400, 'quantity': 0, 'price_per_item': 37086, 'discount_per_item': 36517, 'total_price': 0}
2026-02-21 07:00:04,663 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 554925, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 71243, 'product_id': 30490, 'quantity': 0, 'price_per_item': 90110, 'discount_per_item': 42817, 'total_price': 0}
2026-02-21 07:00:04,683 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 475564, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 45479, 'product_id': 22601, 'quantity': 0, 'price_per_item': 59961, 'discount_per_item': 12135, 'total_price': 0}
2026-02-21 07:00:04,684 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 854086, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 82055, 'product_id': 43112, 'quantity': 0, 'price_per_item': 45899, 'discount_per_item': 24206, 'total_price': 0}
2026-02-21 07:00:04,697 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 818354, 'gender': 'M', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 45011, 'product_id': 18221, 'quantity': 0, 'price_per_item': 29136, 'discount_per_item': 23234, 'total_price': 0}
2026-02-21 07:00:04,702 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 610566, 'gender': 'F', 'purchase_datetime': '2026-02-20', 'purchase_time_as_seconds_from_midnight': 64866, 'product_id': 28297, 'quantity': 0, 'price_per_item': 54228, 'discount_per_item': 32350, 'total_price': 0}
