2026-07-19 07:00:02,642 INFO [App]: Запуск работы «marketplace_data_service»
2026-07-19 07:00:02,648 INFO [DBClient]: Таблица purchases уже существует
2026-07-19 07:00:02,648 INFO [App]: Запуск загрузки данных за предыдущий день
2026-07-19 07:00:02,648 INFO [DailyDataLoader]: Обработка даты: 2026-07-18
2026-07-19 07:00:02,648 INFO [ApiClient]: Запрос данных с API за 2026-07-18
2026-07-19 07:00:20,411 INFO [ApiClient]: Успешно получено 6367 записей
2026-07-19 07:00:20,422 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 543992, 'gender': 'M', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 36551, 'product_id': 32005, 'quantity': 0, 'price_per_item': 42860, 'discount_per_item': 39301, 'total_price': 0}
2026-07-19 07:00:20,430 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 943727, 'gender': 'M', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 32089, 'product_id': 4510, 'quantity': 0, 'price_per_item': 52223, 'discount_per_item': 39772, 'total_price': 0}
2026-07-19 07:00:20,515 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 70272, 'gender': 'F', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 75188, 'product_id': 43943, 'quantity': 0, 'price_per_item': 39102, 'discount_per_item': 27643, 'total_price': 0}
2026-07-19 07:00:20,528 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 933313, 'gender': 'F', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 34811, 'product_id': 20410, 'quantity': 0, 'price_per_item': 69396, 'discount_per_item': 6246, 'total_price': 0}
2026-07-19 07:00:20,550 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 287182, 'gender': 'F', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 42525, 'product_id': 2122, 'quantity': 0, 'price_per_item': 16279, 'discount_per_item': 9173, 'total_price': 0}
2026-07-19 07:00:20,553 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 896648, 'gender': 'F', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 82256, 'product_id': 22777, 'quantity': 0, 'price_per_item': 45419, 'discount_per_item': 22845, 'total_price': 0}
2026-07-19 07:00:20,556 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 584044, 'gender': 'M', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 64381, 'product_id': 28646, 'quantity': 0, 'price_per_item': 28847, 'discount_per_item': 13153, 'total_price': 0}
2026-07-19 07:00:20,569 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 33751, 'gender': 'M', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 6662, 'product_id': 6246, 'quantity': 0, 'price_per_item': 89225, 'discount_per_item': 77879, 'total_price': 0}
2026-07-19 07:00:20,604 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 911743, 'gender': 'M', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 35112, 'product_id': 34323, 'quantity': 0, 'price_per_item': 55666, 'discount_per_item': 25642, 'total_price': 0}
2026-07-19 07:00:20,641 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 671322, 'gender': 'F', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 55726, 'product_id': 49203, 'quantity': 0, 'price_per_item': 82447, 'discount_per_item': 76386, 'total_price': 0}
2026-07-19 07:00:20,650 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 932237, 'gender': 'M', 'purchase_datetime': '2026-07-18', 'purchase_time_as_seconds_from_midnight': 7963, 'product_id': 40906, 'quantity': 0, 'price_per_item': 22960, 'discount_per_item': 21086, 'total_price': 0}
