2026-05-19 07:00:02,044 INFO [App]: Запуск работы «marketplace_data_service»
2026-05-19 07:00:02,052 INFO [DBClient]: Таблица purchases уже существует
2026-05-19 07:00:02,052 INFO [App]: Запуск загрузки данных за предыдущий день
2026-05-19 07:00:02,052 INFO [DailyDataLoader]: Обработка даты: 2026-05-18
2026-05-19 07:00:02,052 INFO [ApiClient]: Запрос данных с API за 2026-05-18
2026-05-19 07:00:17,218 INFO [ApiClient]: Успешно получено 5130 записей
2026-05-19 07:00:17,226 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 433352, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 78708, 'product_id': 5146, 'quantity': 0, 'price_per_item': 95400, 'discount_per_item': 34636, 'total_price': 0}
2026-05-19 07:00:17,249 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 459490, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 27115, 'product_id': 48224, 'quantity': 0, 'price_per_item': 56352, 'discount_per_item': 55062, 'total_price': 0}
2026-05-19 07:00:17,252 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 35297, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 16716, 'product_id': 4484, 'quantity': 0, 'price_per_item': 60948, 'discount_per_item': 5025, 'total_price': 0}
2026-05-19 07:00:17,261 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 958088, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 71162, 'product_id': 2688, 'quantity': 0, 'price_per_item': 66833, 'discount_per_item': 56844, 'total_price': 0}
2026-05-19 07:00:17,261 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 394177, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 61090, 'product_id': 2670, 'quantity': 0, 'price_per_item': 98816, 'discount_per_item': 68892, 'total_price': 0}
2026-05-19 07:00:17,269 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 852774, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 75225, 'product_id': 31313, 'quantity': 0, 'price_per_item': 31013, 'discount_per_item': 30098, 'total_price': 0}
2026-05-19 07:00:17,272 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 122929, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 47097, 'product_id': 31334, 'quantity': 0, 'price_per_item': 85528, 'discount_per_item': 30082, 'total_price': 0}
2026-05-19 07:00:17,275 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 61542, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 58541, 'product_id': 21961, 'quantity': 0, 'price_per_item': 61733, 'discount_per_item': 23501, 'total_price': 0}
2026-05-19 07:00:17,275 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 348464, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 6516, 'product_id': 33008, 'quantity': 0, 'price_per_item': 86701, 'discount_per_item': 13519, 'total_price': 0}
2026-05-19 07:00:17,296 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 591571, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 9826, 'product_id': 41590, 'quantity': 0, 'price_per_item': 36640, 'discount_per_item': 4102, 'total_price': 0}
2026-05-19 07:00:17,302 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 634733, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 85461, 'product_id': 15619, 'quantity': 0, 'price_per_item': 49813, 'discount_per_item': 25713, 'total_price': 0}
2026-05-19 07:00:17,306 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 254239, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 21218, 'product_id': 9436, 'quantity': 0, 'price_per_item': 17787, 'discount_per_item': 13231, 'total_price': 0}
2026-05-19 07:00:17,346 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 122264, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 14652, 'product_id': 133, 'quantity': 0, 'price_per_item': 28314, 'discount_per_item': 26902, 'total_price': 0}
2026-05-19 07:00:17,350 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 277627, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 11898, 'product_id': 26810, 'quantity': 0, 'price_per_item': 87351, 'discount_per_item': 76312, 'total_price': 0}
2026-05-19 07:00:17,356 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 742630, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 52483, 'product_id': 5007, 'quantity': 0, 'price_per_item': 99373, 'discount_per_item': 20898, 'total_price': 0}
2026-05-19 07:00:17,461 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 432427, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 33051, 'product_id': 21851, 'quantity': 0, 'price_per_item': 34318, 'discount_per_item': 14177, 'total_price': 0}
2026-05-19 07:00:17,477 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 687884, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 33125, 'product_id': 26099, 'quantity': 0, 'price_per_item': 77892, 'discount_per_item': 74324, 'total_price': 0}
2026-05-19 07:00:17,511 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 351390, 'gender': 'M', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 14961, 'product_id': 34755, 'quantity': 0, 'price_per_item': 76948, 'discount_per_item': 50596, 'total_price': 0}
2026-05-19 07:00:17,516 WARNING [DataParsing]: Нулевые значения количества и итоговой цены в записи: {'client_id': 342883, 'gender': 'F', 'purchase_datetime': '2026-05-18', 'purchase_time_as_seconds_from_midnight': 61117, 'product_id': 35364, 'quantity': 0, 'price_per_item': 4623, 'discount_per_item': 1719, 'total_price': 0}
